CongNumb,Year,ICPSR,StateCode,District,State,Party,Name,IdeologicalRank,TotalReceipts,TotalReceipts2,Representative
112,2012,14066,81,1,ALASKA,200,YOUNG,0.511,1004000,1.004,"YOUNG, DONALD E"
112,2012,13047,43,10,FLORIDA,200,YOUNG,0.508,1041000,1.041,"YOUNG, C W BILL"
112,2012,21133,22,9,INDIANA,200,YOUNG,0.727,1819000,1.819,"YOUNG, TODD CHRISTOPHER"
112,2012,21135,32,3,KANSAS,200,YODER,0.781,1723000,1.723,"YODER, SHELLI"
112,2012,20723,51,3,KENTUCK,100,YARMUTH,-0.367,1001000,1.001,"YARMUTH, JOHN A MR"
112,2012,14871,72,0,OREGON,100,WYDEN,-0.39,0,0,
112,2012,29931,72,1,OREGON,100,WU,-0.406,0,0,
112,2012,29309,71,6,CALIFOR,100,WOOLSEY,-0.671,0,0,
112,2012,21122,44,7,GEORGIA,200,WOODALL,0.956,407000,0.407,"WOODALL, ROB"
112,2012,21108,42,3,ARKANSA,200,WOMACK,0.412,933000,0.933,"WOMACK, STEVE"
112,2012,14869,40,10,VIRGINI,200,WOLF,0.509,1091000,1.091,"WOLFE, TIMOTHY C"
112,2012,20756,40,1,VIRGINI,200,WITTMAN,0.585,950000,0.95,"WITTMAN, ROB"
112,2012,21118,43,17,FLORIDA,100,WILSON,-0.429,529000,0.529,"WILSON, TIMMY (DOC)"
112,2012,20138,48,2,SOUTH C,200,WILSON,0.797,1030000,1.03,"WILSON, ADDISON (JOE) GRAVES"
112,2012,29534,46,0,MISSISS,200,WICKER,0.437,3384000,3.384,"WICKER, SCOTT BROOKS JR"
112,2012,29525,51,1,KENTUCK,200,WHITFIEL,0.509,1917000,1.917,"WHITFIELD, WAYNE EDWARD"
112,2012,40704,5,0,RHODE I,100,WHITEHOUSE,-0.516,3320000,3.32,"WHITEHOUSE, SHELDON II"
112,2012,20506,44,3,GEORGIA,200,WESTMORE,0.787,1068000,1.068,"WESTMORELAND, LYNN A."
112,2012,21119,43,22,FLORIDA,200,WEST,0.675,19359000,19.359,"WEST, ALAN"
112,2012,20750,6,1,VERMONT,100,WELCH,-0.474,950000,0.95,"WELCH, STEVEN D"
112,2012,29926,13,9,NEW YOR,100,WEINER,-0.41,0,0,
112,2012,21116,43,8,FLORIDA,200,WEBSTER,0.705,1535000,1.535,"WEBSTER, DANIEL"
112,2012,40706,40,0,VIRGINI,100,WEBB,-0.208,0,0,
112,2012,14280,71,30,CALIFOR,100,WAXMAN,-0.464,1894000,1.894,"WAXMAN, HENRY A"
112,2012,29383,47,12,NORTH C,100,WATT,-0.456,852000,0.852,"WATT, MELVIN L"
112,2012,29106,71,35,CALIFOR,100,WATERS,-0.594,730000,0.73,"WATERS, MAXINE"
112,2012,20504,43,20,FLORIDA,100,WASSERMA,-0.388,3629000,3.629,"SCHULTZ, DEBBIE WASSERMAN"
