source,target,value
INS,C0001,8.2
SMO,C0001,0.6
OPO,C0001,0.25
OED,C0001,0.3
JWSTMO,C0001,0.05
Director's Office,C3707,0.05
ITSD,C3707,0.25
OED,C3707,1.7
PMO,C3707,0.05
SMO,C3712,0.6
OPO,C3712,0.05
OED,C3712,0.6
BRC,C3950,1
INS,C3950,10
SMO,C3950,1
PMO,C4075,0.05
ITSD,D0001,0.07
BRC,I0002,55.75
Director's Office,I0002,8
INS,I0002,1.7
ITSD,I0002,53.8
SMO,I0002,3
OPO,I0002,2.01
OED,I0002,0.2
PMO,I0002,5.1
CMO,I0002,3
BRC,J1370,0.15
OPO,J1370,3.63
INS,J1561,1.3
ITSD,J1561,1.4
OPO,J1561,0.05
OED,J1561,9.2
BRC,P0004,3.3
Director's Office,P0004,2.65
INS,P0004,50.28
ITSD,P0004,7.6
SMO,P0004,4.2
OPO,P0004,5.92
OED,P0004,117.63
JWSTMO,P0004,32.6
BRC,P0005,13.5
Director's Office,P0005,2.65
INS,P0005,42.85
ITSD,P0005,9.13
SMO,P0005,7.2
OPO,P0005,24.59
OED,P0005,67.72
PMO,P0005,0.9
HSTMO,P0005,4
INS,P0004,0.5
