source,target,value
1.1.01.20,C0001,8.25
1.1.01.41,C0001,0.975
1.1.01.43,C0001,0.25
1.1.01.53,C0001,0.3
1.1.01.92,C0001,0.05
1.1.01.10,C3707,0.05
1.1.01.35,C3707,0.25
1.1.01.53,C3707,1.7
1.1.01.90,C3707,0.05
1.1.01.41,C3712,0.6
1.1.01.43,C3712,0.05
1.1.01.53,C3712,0.6
1.1.01.00,C3950,1
1.1.01.20,C3950,10
1.1.01.41,C3950,1
1.1.01.90,C4075,0.05
1.1.01.35,D0001,0.07
1.1.01.00,I0002,57.27
1.1.01.10,I0002,8
1.1.01.20,I0002,1.7
1.1.01.35,I0002,53.8
1.1.01.41,I0002,3.875
1.1.01.43,I0002,2.01
1.1.01.53,I0002,0.2
1.1.01.90,I0002,5.1
1.1.01.93,I0002,3
1.1.01.43,J1195,0.5125
1.1.01.00,J1370,0.15
1.1.01.43,J1370,3.6225
1.1.01.20,J1561,1.3
1.1.01.35,J1561,1.4
1.1.01.43,J1561,0.05
1.1.01.53,J1561,9.2
1.1.01.00,P0004,3.116666667
1.1.01.10,P0004,2.65
1.1.01.20,P0004,49.53
1.1.01.35,P0004,7.516666667
1.1.01.41,P0004,3.7
1.1.01.43,P0004,5.88
1.1.01.53,P0004,110.9675
1.1.01.92,P0004,28.71
1.1.01.00,P0005,13.45833333
1.1.01.10,P0005,2.65
1.1.01.20,P0005,41.8175
1.1.01.35,P0005,9.130833333
1.1.01.41,P0005,6.45
1.1.01.43,P0005,23.87916667
1.1.01.53,P0005,69.84166667
1.1.01.90,P0005,0.8625
1.1.01.91,P0005,4.000833333
1.1.01.20,P0004,0.291666667
