source,target,value
1.1.01.20.00.00,C0001,12.001
1.1.01.20.10.40,C0001,0.001
1.1.01.20.10.50,C0001,4.801
1.1.01.20.10.60,C0001,1.801
1.1.01.20.20.20,C0001,0.001
1.1.01.20.20.30,C0001,1.801
1.1.01.20.20.40,C0001,3.601
1.1.01.20.30.70,C0001,61.801
1.1.01.20.30.80,C0001,13.201
1.1.01.41.00.00,C0001,11.701
1.1.01.43.00.00,C0001,3.001
1.1.01.53.30.30,C0001,3.601
1.1.01.92.00.00,C0001,0.601
1.1.01.93.00.00,C0001,0.001
1.1.01.10.00.00,C3707,0.601
1.1.01.35.20.00,C3707,1.201
1.1.01.35.30.00,C3707,0.601
1.1.01.35.60.00,C3707,1.201
1.1.01.53.30.20,C3707,11.401
1.1.01.53.30.30,C3707,5.401
1.1.01.53.30.40,C3707,3.601
1.1.01.90.00.00,C3707,0.601
1.1.01.41.00.00,C3712,7.201
1.1.01.43.00.00,C3712,0.601
1.1.01.53.00.00,C3712,1.201
1.1.01.53.30.40,C3712,6.001
1.1.01.00.97.01,C3950,12.001
1.1.01.20.10.40,C3950,24.001
1.1.01.20.10.50,C3950,36.001
1.1.01.20.10.60,C3950,60.001
1.1.01.41.00.00,C3950,12.001
1.1.01.90.00.00,C4075,0.601
1.1.01.35.20.00,D0001,0.841
1.1.01.43.00.00,D0001,0.001
1.1.01.00.02.01,I0002,7.491
1.1.01.00.76.03,I0002,72.001
1.1.01.00.76.04,I0002,72.001
1.1.01.00.92.01,I0002,24.001
1.1.01.00.93.01,I0002,36.001
1.1.01.00.94.01,I0002,102.001
1.1.01.00.95.03,I0002,60.001
1.1.01.00.95.04,I0002,72.001
1.1.01.00.96.01,I0002,72.001
1.1.01.00.96.02,I0002,22.751
1.1.01.00.97.01,I0002,147.001
1.1.01.10.00.00,I0002,96.001
1.1.01.20.10.50,I0002,1.201
1.1.01.20.30.70,I0002,19.201
1.1.01.20.30.80,I0002,0.001
1.1.01.35.00.00,I0002,55.201
1.1.01.35.10.00,I0002,168.001
1.1.01.35.20.00,I0002,92.401
1.1.01.35.30.00,I0002,90.601
1.1.01.35.40.00,I0002,101.401
1.1.01.35.60.00,I0002,45.001
1.1.01.35.70.00,I0002,93.001
1.1.01.41.00.00,I0002,10.501
1.1.01.41.10.00,I0002,36.001
1.1.01.43.00.00,I0002,24.121
1.1.01.53.30.40,I0002,2.401
1.1.01.90.00.00,I0002,61.201
1.1.01.93.00.00,I0002,36.001
1.1.01.35.20.00,J1160,0.001
1.1.01.00.97.01,J1195,0.001
1.1.01.43.00.00,J1195,6.151
1.1.01.92.00.00,J1346,0.001
1.1.01.00.97.01,J1370,1.801
1.1.01.43.00.00,J1370,43.471
1.1.01.20.30.70,J1561,15.601
1.1.01.35.20.00,J1561,1.801
1.1.01.35.30.00,J1561,4.801
1.1.01.35.60.00,J1561,8.401
1.1.01.35.70.00,J1561,1.801
1.1.01.43.00.00,J1561,0.601
1.1.01.53.00.00,J1561,9.001
1.1.01.53.30.10,J1561,2.401
1.1.01.53.30.30,J1561,3.001
1.1.01.53.30.40,J1561,96.001
1.1.01.00.97.01,P0004,37.401
1.1.01.10.00.00,P0004,31.801
1.1.01.20.00.00,P0004,12.001
1.1.01.20.10.40,P0004,6.001
1.1.01.20.10.50,P0004,0.001
1.1.01.20.20.10,P0004,66.001
1.1.01.20.20.20,P0004,78.001
1.1.01.20.20.30,P0004,78.001
1.1.01.20.20.40,P0004,68.401
1.1.01.20.30.70,P0004,117.601
1.1.01.20.30.80,P0004,92.401
1.1.01.20.30.90,P0004,75.961
1.1.01.35.00.00,P0004,6.001
1.1.01.35.10.00,P0004,0.001
1.1.01.35.20.00,P0004,34.201
1.1.01.35.30.00,P0004,15.801
1.1.01.35.40.00,P0004,6.601
1.1.01.35.60.00,P0004,18.001
1.1.01.35.70.00,P0004,9.601
1.1.01.41.00.00,P0004,44.401
1.1.01.43.00.00,P0004,70.561
1.1.01.53.00.00,P0004,61.801
1.1.01.53.10.10,P0004,110.751
1.1.01.53.10.20,P0004,7.201
1.1.01.53.10.30,P0004,73.561
1.1.01.53.10.40,P0004,27.001
1.1.01.53.20.10,P0004,193.001
1.1.01.53.20.20,P0004,72.001
1.1.01.53.20.30,P0004,103.201
1.1.01.53.20.40,P0004,117.601
1.1.01.53.20.50,P0004,190.201
1.1.01.53.30.10,P0004,204.801
1.1.01.53.30.20,P0004,30.601
1.1.01.53.30.30,P0004,95.101
1.1.01.53.30.40,P0004,44.801
1.1.01.92.00.00,P0004,344.521
1.1.01.00.02.01,P0005,71.501
1.1.01.00.97.01,P0005,90.001
1.1.01.10.00.00,P0005,31.801
1.1.01.20.00.00,P0005,12.011
1.1.01.20.10.40,P0005,18.001
1.1.01.20.10.50,P0005,114.001
1.1.01.20.10.60,P0005,67.401
1.1.01.20.20.20,P0005,6.001
1.1.01.20.20.30,P0005,4.201
1.1.01.20.30.70,P0005,247.801
1.1.01.20.30.80,P0005,14.401
1.1.01.20.30.90,P0005,18.001
1.1.01.35.00.00,P0005,10.811
1.1.01.35.10.00,P0005,0.001
1.1.01.35.20.00,P0005,13.561
1.1.01.35.30.00,P0005,22.201
1.1.01.35.40.00,P0005,24.001
1.1.01.35.60.00,P0005,23.401
1.1.01.35.70.00,P0005,15.601
1.1.01.41.00.00,P0005,77.401
1.1.01.43.00.00,P0005,286.551
1.1.01.53.00.00,P0005,39.011
1.1.01.53.10.10,P0005,123.251
1.1.01.53.10.20,P0005,88.801
1.1.01.53.10.30,P0005,94.441
1.1.01.53.10.40,P0005,69.001
1.1.01.53.20.10,P0005,6.001
1.1.01.53.20.20,P0005,16.801
1.1.01.53.20.30,P0005,24.001
1.1.01.53.20.40,P0005,2.401
1.1.01.53.20.50,P0005,13.801
1.1.01.53.30.10,P0005,83.001
1.1.01.53.30.20,P0005,90.001
1.1.01.53.30.30,P0005,147.901
1.1.01.53.30.40,P0005,39.701
1.1.01.90.00.00,P0005,10.351
1.1.01.91.00.00,P0005,48.011
1.1.01.92.00.00,P0005,0.001
1.1.01.20.20.20,I0002,0.001
1.1.01.20.30.80,P0004,3.501
